orthogroup	accession	protein_id	sequence_id	observed_n_tmd	modal_n_tmd	matches_modal
orthogroup_288	GCF_000011245.1	WP_011065853.1	orthogroup_288|GCF_000011245.1|WP_011065853.1	12	12	1
orthogroup_288	GCF_000017885.4	WP_012009854.1	orthogroup_288|GCF_000017885.4|WP_012009854.1	12	12	1
orthogroup_288	GCF_005671335.1	WP_053430893.1	orthogroup_288|GCF_005671335.1|WP_053430893.1	12	12	1
orthogroup_288	GCF_006094295.1	WP_000273082.1	orthogroup_288|GCF_006094295.1|WP_000273082.1	12	12	1
orthogroup_288	GCF_034478925.1	WP_003181511.1	orthogroup_288|GCF_034478925.1|WP_003181511.1	12	12	1
orthogroup_288	GCF_034479305.1	WP_094427337.1	orthogroup_288|GCF_034479305.1|WP_094427337.1	12	12	1
orthogroup_299	GCA_000015785.2	ABS73868.1	orthogroup_299|GCA_000015785.2|ABS73868.1	10	10	1
orthogroup_299	GCA_000025805.1	ADF41096.1	orthogroup_299|GCA_000025805.1|ADF41096.1	10	10	1
orthogroup_299	GCF_000009045.1	NP_389402.2	orthogroup_299|GCF_000009045.1|NP_389402.2	10	10	1
orthogroup_299	GCF_000009785.1	WP_011230617.1	orthogroup_299|GCF_000009785.1|WP_011230617.1	10	10	1
orthogroup_299	GCF_000011245.1	WP_011065869.1	orthogroup_299|GCF_000011245.1|WP_011065869.1	10	10	1
orthogroup_299	GCF_000017885.4	WP_003211854.1	orthogroup_299|GCF_000017885.4|WP_003211854.1	10	10	1
orthogroup_299	GCF_005671335.1	WP_053431954.1	orthogroup_299|GCF_005671335.1|WP_053431954.1	10	10	1
orthogroup_299	GCF_006094295.1	WP_000893060.1	orthogroup_299|GCF_006094295.1|WP_000893060.1	10	10	1
orthogroup_299	GCF_034478925.1	WP_003181543.1	orthogroup_299|GCF_034478925.1|WP_003181543.1	10	10	1
orthogroup_299	GCF_034479305.1	WP_094427368.1	orthogroup_299|GCF_034479305.1|WP_094427368.1	10	10	1
orthogroup_301	GCA_000015785.2	ABS73870.1	orthogroup_301|GCA_000015785.2|ABS73870.1	10	10	1
orthogroup_301	GCA_000025805.1	ADF41094.1	orthogroup_301|GCA_000025805.1|ADF41094.1	9	10	0
orthogroup_301	GCF_000009045.1	NP_389404.1	orthogroup_301|GCF_000009045.1|NP_389404.1	10	10	1
orthogroup_301	GCF_000009785.1	WP_011230619.1	orthogroup_301|GCF_000009785.1|WP_011230619.1	10	10	1
orthogroup_301	GCF_000011245.1	WP_081427510.1	orthogroup_301|GCF_000011245.1|WP_081427510.1	10	10	1
orthogroup_301	GCF_000017885.4	WP_003212197.1	orthogroup_301|GCF_000017885.4|WP_003212197.1	10	10	1
orthogroup_301	GCF_005671335.1	WP_010898717.1	orthogroup_301|GCF_005671335.1|WP_010898717.1	10	10	1
orthogroup_301	GCF_006094295.1	WP_000753520.1	orthogroup_301|GCF_006094295.1|WP_000753520.1	10	10	1
orthogroup_301	GCF_034478925.1	WP_003181546.1	orthogroup_301|GCF_034478925.1|WP_003181546.1	10	10	1
orthogroup_301	GCF_034479305.1	WP_094427372.1	orthogroup_301|GCF_034479305.1|WP_094427372.1	10	10	1
orthogroup_305	GCA_000015785.2	ABS73877.1	orthogroup_305|GCA_000015785.2|ABS73877.1	5	5	1
orthogroup_305	GCA_000025805.1	ADF41089.1	orthogroup_305|GCA_000025805.1|ADF41089.1	5	5	1
orthogroup_305	GCF_000009045.1	NP_389414.1	orthogroup_305|GCF_000009045.1|NP_389414.1	5	5	1
orthogroup_305	GCF_000009785.1	WP_011230626.1	orthogroup_305|GCF_000009785.1|WP_011230626.1	5	5	1
orthogroup_305	GCF_000011245.1	WP_011065875.1	orthogroup_305|GCF_000011245.1|WP_011065875.1	5	5	1
orthogroup_305	GCF_000017885.4	WP_012009877.1	orthogroup_305|GCF_000017885.4|WP_012009877.1	5	5	1
orthogroup_305	GCF_005671335.1	WP_053430909.1	orthogroup_305|GCF_005671335.1|WP_053430909.1	5	5	1
orthogroup_305	GCF_006094295.1	WP_000261975.1	orthogroup_305|GCF_006094295.1|WP_000261975.1	5	5	1
orthogroup_305	GCF_034478925.1	WP_009328548.1	orthogroup_305|GCF_034478925.1|WP_009328548.1	5	5	1
orthogroup_305	GCF_034479305.1	WP_094427382.1	orthogroup_305|GCF_034479305.1|WP_094427382.1	5	5	1
orthogroup_315	GCA_000015785.2	ABS73891.1	orthogroup_315|GCA_000015785.2|ABS73891.1	4	4	1
orthogroup_315	GCA_000025805.1	ADF41077.1	orthogroup_315|GCA_000025805.1|ADF41077.1	4	4	1
orthogroup_315	GCF_000009045.1	NP_389428.1	orthogroup_315|GCF_000009045.1|NP_389428.1	4	4	1
orthogroup_315	GCF_000009785.1	WP_081430696.1	orthogroup_315|GCF_000009785.1|WP_081430696.1	4	4	1
orthogroup_315	GCF_000011245.1	WP_011065886.1	orthogroup_315|GCF_000011245.1|WP_011065886.1	4	4	1
orthogroup_315	GCF_000017885.4	WP_012009890.1	orthogroup_315|GCF_000017885.4|WP_012009890.1	4	4	1
orthogroup_315	GCF_005671335.1	WP_053430917.1	orthogroup_315|GCF_005671335.1|WP_053430917.1	4	4	1
orthogroup_315	GCF_006094295.1	WP_000642185.1	orthogroup_315|GCF_006094295.1|WP_000642185.1	4	4	1
orthogroup_315	GCF_034478925.1	WP_009328542.1	orthogroup_315|GCF_034478925.1|WP_009328542.1	4	4	1
orthogroup_315	GCF_034479305.1	WP_094427398.1	orthogroup_315|GCF_034479305.1|WP_094427398.1	4	4	1
orthogroup_318	GCA_000015785.2	ABS73894.1	orthogroup_318|GCA_000015785.2|ABS73894.1	14	14	1
orthogroup_318	GCA_000025805.1	ADF41074.1	orthogroup_318|GCA_000025805.1|ADF41074.1	14	14	1
orthogroup_318	GCF_000009045.1	NP_389431.2	orthogroup_318|GCF_000009045.1|NP_389431.2	14	14	1
orthogroup_318	GCF_000009785.1	WP_011230648.1	orthogroup_318|GCF_000009785.1|WP_011230648.1	14	14	1
orthogroup_318	GCF_000011245.1	WP_011066686.1	orthogroup_318|GCF_000011245.1|WP_011066686.1	14	14	1
orthogroup_318	GCF_000017885.4	WP_012009893.1	orthogroup_318|GCF_000017885.4|WP_012009893.1	14	14	1
orthogroup_318	GCF_005671335.1	WP_138090574.1	orthogroup_318|GCF_005671335.1|WP_138090574.1	14	14	1
orthogroup_318	GCF_006094295.1	WP_000435928.1	orthogroup_318|GCF_006094295.1|WP_000435928.1	14	14	1
orthogroup_318	GCF_034478925.1	WP_003181617.1	orthogroup_318|GCF_034478925.1|WP_003181617.1	14	14	1
orthogroup_318	GCF_034479305.1	WP_094427403.1	orthogroup_318|GCF_034479305.1|WP_094427403.1	14	14	1
orthogroup_329	GCA_000015785.2	ABS73911.1	orthogroup_329|GCA_000015785.2|ABS73911.1	10	10	1
orthogroup_329	GCA_000025805.1	ADF41064.1	orthogroup_329|GCA_000025805.1|ADF41064.1	10	10	1
orthogroup_329	GCF_000009045.1	NP_389448.1	orthogroup_329|GCF_000009045.1|NP_389448.1	10	10	1
orthogroup_329	GCF_000009785.1	WP_011230664.1	orthogroup_329|GCF_000009785.1|WP_011230664.1	10	10	1
orthogroup_329	GCF_000011245.1	WP_011065901.1	orthogroup_329|GCF_000011245.1|WP_011065901.1	10	10	1
orthogroup_329	GCF_000017885.4	WP_012009910.1	orthogroup_329|GCF_000017885.4|WP_012009910.1	10	10	1
orthogroup_329	GCF_005671335.1	WP_010898666.1	orthogroup_329|GCF_005671335.1|WP_010898666.1	10	10	1
orthogroup_329	GCF_006094295.1	WP_001104778.1	orthogroup_329|GCF_006094295.1|WP_001104778.1	10	10	1
orthogroup_329	GCF_034478925.1	WP_003181653.1	orthogroup_329|GCF_034478925.1|WP_003181653.1	10	10	1
orthogroup_329	GCF_034479305.1	WP_094429276.1	orthogroup_329|GCF_034479305.1|WP_094429276.1	10	10	1
orthogroup_377	GCA_000015785.2	ABS73982.1	orthogroup_377|GCA_000015785.2|ABS73982.1	4	4	1
orthogroup_377	GCA_000025805.1	ADF40995.1	orthogroup_377|GCA_000025805.1|ADF40995.1	4	4	1
orthogroup_377	GCF_000009045.1	NP_389517.1	orthogroup_377|GCF_000009045.1|NP_389517.1	4	4	1
orthogroup_377	GCF_000009785.1	WP_011230734.1	orthogroup_377|GCF_000009785.1|WP_011230734.1	4	4	1
orthogroup_377	GCF_000011245.1	WP_011065971.1	orthogroup_377|GCF_000011245.1|WP_011065971.1	2	4	0
orthogroup_377	GCF_000017885.4	WP_007499580.1	orthogroup_377|GCF_000017885.4|WP_007499580.1	4	4	1
orthogroup_377	GCF_005671335.1	WP_010898595.1	orthogroup_377|GCF_005671335.1|WP_010898595.1	4	4	1
orthogroup_377	GCF_006094295.1	WP_001220582.1	orthogroup_377|GCF_006094295.1|WP_001220582.1	4	4	1
orthogroup_377	GCF_034478925.1	WP_009328512.1	orthogroup_377|GCF_034478925.1|WP_009328512.1	4	4	1
orthogroup_377	GCF_034479305.1	WP_375071307.1	orthogroup_377|GCF_034479305.1|WP_375071307.1	4	4	1
orthogroup_379	GCA_000015785.2	ABS73985.1	orthogroup_379|GCA_000015785.2|ABS73985.1	4	4	1
orthogroup_379	GCA_000025805.1	ADF40992.1	orthogroup_379|GCA_000025805.1|ADF40992.1	4	4	1
orthogroup_379	GCF_000009045.1	NP_389520.1	orthogroup_379|GCF_000009045.1|NP_389520.1	4	4	1
orthogroup_379	GCF_000009785.1	WP_011230737.1	orthogroup_379|GCF_000009785.1|WP_011230737.1	4	4	1
orthogroup_379	GCF_000011245.1	WP_011065974.1	orthogroup_379|GCF_000011245.1|WP_011065974.1	4	4	1
orthogroup_379	GCF_000017885.4	WP_012009968.1	orthogroup_379|GCF_000017885.4|WP_012009968.1	4	4	1
orthogroup_379	GCF_005671335.1	WP_138090558.1	orthogroup_379|GCF_005671335.1|WP_138090558.1	4	4	1
orthogroup_379	GCF_006094295.1	WP_001030109.1	orthogroup_379|GCF_006094295.1|WP_001030109.1	4	4	1
orthogroup_379	GCF_034478925.1	WP_003181806.1	orthogroup_379|GCF_034478925.1|WP_003181806.1	4	4	1
orthogroup_379	GCF_034479305.1	WP_094427569.1	orthogroup_379|GCF_034479305.1|WP_094427569.1	4	4	1
orthogroup_380	GCA_000015785.2	ABS73986.1	orthogroup_380|GCA_000015785.2|ABS73986.1	8	8	1
orthogroup_380	GCA_000025805.1	ADF40991.1	orthogroup_380|GCA_000025805.1|ADF40991.1	8	8	1
orthogroup_380	GCF_000009045.1	NP_389521.2	orthogroup_380|GCF_000009045.1|NP_389521.2	8	8	1
orthogroup_380	GCF_000009785.1	WP_011230738.1	orthogroup_380|GCF_000009785.1|WP_011230738.1	8	8	1
orthogroup_380	GCF_000011245.1	WP_011065975.1	orthogroup_380|GCF_000011245.1|WP_011065975.1	8	8	1
orthogroup_380	GCF_000017885.4	WP_012009969.1	orthogroup_380|GCF_000017885.4|WP_012009969.1	8	8	1
orthogroup_380	GCF_005671335.1	WP_138090556.1	orthogroup_380|GCF_005671335.1|WP_138090556.1	8	8	1
orthogroup_380	GCF_006094295.1	WP_000472537.1	orthogroup_380|GCF_006094295.1|WP_000472537.1	8	8	1
orthogroup_380	GCF_034478925.1	WP_003181808.1	orthogroup_380|GCF_034478925.1|WP_003181808.1	8	8	1
orthogroup_380	GCF_034479305.1	WP_094427571.1	orthogroup_380|GCF_034479305.1|WP_094427571.1	8	8	1
orthogroup_386	GCA_000015785.2	ABS74001.2	orthogroup_386|GCA_000015785.2|ABS74001.2	9	9	1
orthogroup_386	GCA_000025805.1	ADF40977.1	orthogroup_386|GCA_000025805.1|ADF40977.1	9	9	1
orthogroup_386	GCF_000009045.1	NP_389536.1	orthogroup_386|GCF_000009045.1|NP_389536.1	9	9	1
orthogroup_386	GCF_000009785.1	WP_011230754.1	orthogroup_386|GCF_000009785.1|WP_011230754.1	9	9	1
orthogroup_386	GCF_000011245.1	WP_011065991.1	orthogroup_386|GCF_000011245.1|WP_011065991.1	9	9	1
orthogroup_386	GCF_000017885.4	WP_041815514.1	orthogroup_386|GCF_000017885.4|WP_041815514.1	9	9	1
orthogroup_386	GCF_005671335.1	WP_138090549.1	orthogroup_386|GCF_005671335.1|WP_138090549.1	9	9	1
orthogroup_386	GCF_006094295.1	WP_000813592.1	orthogroup_386|GCF_006094295.1|WP_000813592.1	9	9	1
orthogroup_386	GCF_034478925.1	WP_011197978.1	orthogroup_386|GCF_034478925.1|WP_011197978.1	9	9	1
orthogroup_386	GCF_034479305.1	WP_011247080.1	orthogroup_386|GCF_034479305.1|WP_011247080.1	9	9	1
orthogroup_407	GCA_000015785.2	ABS74028.1	orthogroup_407|GCA_000015785.2|ABS74028.1	4	4	1
orthogroup_407	GCA_000025805.1	ADF40950.1	orthogroup_407|GCA_000025805.1|ADF40950.1	4	4	1
orthogroup_407	GCF_000009045.1	NP_389562.3	orthogroup_407|GCF_000009045.1|NP_389562.3	4	4	1
orthogroup_407	GCF_000009785.1	WP_011230781.1	orthogroup_407|GCF_000009785.1|WP_011230781.1	4	4	1
orthogroup_407	GCF_000011245.1	WP_011066014.1	orthogroup_407|GCF_000011245.1|WP_011066014.1	4	4	1
orthogroup_407	GCF_000017885.4	WP_012010009.1	orthogroup_407|GCF_000017885.4|WP_012010009.1	4	4	1
orthogroup_407	GCF_005671335.1	WP_053430977.1	orthogroup_407|GCF_005671335.1|WP_053430977.1	4	4	1
orthogroup_407	GCF_006094295.1	WP_001118782.1	orthogroup_407|GCF_006094295.1|WP_001118782.1	4	4	1
orthogroup_407	GCF_034478925.1	WP_011197982.1	orthogroup_407|GCF_034478925.1|WP_011197982.1	4	4	1
orthogroup_407	GCF_034479305.1	WP_094427649.1	orthogroup_407|GCF_034479305.1|WP_094427649.1	4	4	1
orthogroup_414	GCA_000015785.2	ABS74039.1	orthogroup_414|GCA_000015785.2|ABS74039.1	6	6	1
orthogroup_414	GCA_000025805.1	ADF40938.1	orthogroup_414|GCA_000025805.1|ADF40938.1	6	6	1
orthogroup_414	GCF_000009045.1	NP_389574.2	orthogroup_414|GCF_000009045.1|NP_389574.2	6	6	1
orthogroup_414	GCF_000009785.1	WP_011230793.1	orthogroup_414|GCF_000009785.1|WP_011230793.1	6	6	1
orthogroup_414	GCF_000011245.1	WP_011066022.1	orthogroup_414|GCF_000011245.1|WP_011066022.1	6	6	1
orthogroup_414	GCF_000017885.4	WP_012010018.1	orthogroup_414|GCF_000017885.4|WP_012010018.1	6	6	1
orthogroup_414	GCF_005671335.1	WP_010898539.1	orthogroup_414|GCF_005671335.1|WP_010898539.1	6	6	1
orthogroup_414	GCF_006094295.1	WP_001052967.1	orthogroup_414|GCF_006094295.1|WP_001052967.1	6	6	1
orthogroup_414	GCF_034478925.1	WP_003181921.1	orthogroup_414|GCF_034478925.1|WP_003181921.1	6	6	1
orthogroup_414	GCF_034479305.1	WP_011247045.1	orthogroup_414|GCF_034479305.1|WP_011247045.1	6	6	1
orthogroup_453	GCA_000015785.2	ABS74287.1	orthogroup_453|GCA_000015785.2|ABS74287.1	10	10	1
orthogroup_453	GCA_000025805.1	ADF38811.1	orthogroup_453|GCA_000025805.1|ADF38811.1	10	10	1
orthogroup_453	GCF_000009045.1	NP_389830.2	orthogroup_453|GCF_000009045.1|NP_389830.2	10	10	1
orthogroup_453	GCF_000009785.1	WP_011231080.1	orthogroup_453|GCF_000009785.1|WP_011231080.1	10	10	1
orthogroup_453	GCF_000011245.1	WP_011067443.1	orthogroup_453|GCF_000011245.1|WP_011067443.1	10	10	1
orthogroup_453	GCF_000017885.4	WP_012010264.1	orthogroup_453|GCF_000017885.4|WP_012010264.1	10	10	1
orthogroup_453	GCF_005671335.1	WP_053430022.1	orthogroup_453|GCF_005671335.1|WP_053430022.1	10	10	1
orthogroup_453	GCF_006094295.1	WP_000535539.1	orthogroup_453|GCF_006094295.1|WP_000535539.1	10	10	1
orthogroup_453	GCF_034478925.1	WP_011198052.1	orthogroup_453|GCF_034478925.1|WP_011198052.1	10	10	1
orthogroup_453	GCF_034479305.1	WP_094423783.1	orthogroup_453|GCF_034479305.1|WP_094423783.1	10	10	1
orthogroup_478	GCA_000015785.2	ABS74428.1	orthogroup_478|GCA_000015785.2|ABS74428.1	6	6	1
orthogroup_478	GCA_000025805.1	ADF38224.1	orthogroup_478|GCA_000025805.1|ADF38224.1	7	6	0
orthogroup_478	GCF_000009045.1	NP_390132.2	orthogroup_478|GCF_000009045.1|NP_390132.2	7	6	0
orthogroup_478	GCF_000009785.1	WP_011231672.1	orthogroup_478|GCF_000009785.1|WP_011231672.1	6	6	1
orthogroup_478	GCF_000011245.1	WP_011066169.1	orthogroup_478|GCF_000011245.1|WP_011066169.1	6	6	1
orthogroup_478	GCF_000017885.4	WP_012010366.1	orthogroup_478|GCF_000017885.4|WP_012010366.1	6	6	1
orthogroup_478	GCF_005671335.1	WP_010897840.1	orthogroup_478|GCF_005671335.1|WP_010897840.1	6	6	1
orthogroup_478	GCF_006094295.1	WP_000202121.1	orthogroup_478|GCF_006094295.1|WP_000202121.1	7	6	0
orthogroup_478	GCF_034478925.1	WP_003182943.1	orthogroup_478|GCF_034478925.1|WP_003182943.1	6	6	1
orthogroup_478	GCF_034479305.1	WP_011246757.1	orthogroup_478|GCF_034479305.1|WP_011246757.1	7	6	0
orthogroup_479	GCA_000015785.2	ABS74431.2	orthogroup_479|GCA_000015785.2|ABS74431.2	6	6	1
orthogroup_479	GCA_000025805.1	ADF41125.1	orthogroup_479|GCA_000025805.1|ADF41125.1	6	6	1
orthogroup_479	GCF_000009045.1	NP_390134.1	orthogroup_479|GCF_000009045.1|NP_390134.1	6	6	1
orthogroup_479	GCF_000009785.1	WP_011231674.1	orthogroup_479|GCF_000009785.1|WP_011231674.1	6	6	1
orthogroup_479	GCF_000011245.1	WP_011066172.1	orthogroup_479|GCF_000011245.1|WP_011066172.1	6	6	1
orthogroup_479	GCF_000017885.4	WP_041815659.1	orthogroup_479|GCF_000017885.4|WP_041815659.1	6	6	1
orthogroup_479	GCF_005671335.1	WP_138090413.1	orthogroup_479|GCF_005671335.1|WP_138090413.1	6	6	1
orthogroup_479	GCF_006094295.1	WP_025709269.1	orthogroup_479|GCF_006094295.1|WP_025709269.1	6	6	1
orthogroup_479	GCF_034478925.1	WP_011201684.1	orthogroup_479|GCF_034478925.1|WP_011201684.1	6	6	1
orthogroup_479	GCF_034479305.1	WP_094429297.1	orthogroup_479|GCF_034479305.1|WP_094429297.1	6	6	1
orthogroup_480	GCA_000015785.2	ABS74432.1	orthogroup_480|GCA_000015785.2|ABS74432.1	3	3	1
orthogroup_480	GCA_000025805.1	ADF41126.1	orthogroup_480|GCA_000025805.1|ADF41126.1	3	3	1
orthogroup_480	GCF_000009045.1	NP_390135.1	orthogroup_480|GCF_000009045.1|NP_390135.1	3	3	1
orthogroup_480	GCF_000009785.1	WP_011231675.1	orthogroup_480|GCF_000009785.1|WP_011231675.1	3	3	1
orthogroup_480	GCF_000011245.1	WP_011066173.1	orthogroup_480|GCF_000011245.1|WP_011066173.1	3	3	1
orthogroup_480	GCF_000017885.4	WP_012010369.1	orthogroup_480|GCF_000017885.4|WP_012010369.1	3	3	1
orthogroup_480	GCF_005671335.1	WP_010897836.1	orthogroup_480|GCF_005671335.1|WP_010897836.1	3	3	1
orthogroup_480	GCF_006094295.1	WP_000554603.1	orthogroup_480|GCF_006094295.1|WP_000554603.1	3	3	1
orthogroup_480	GCF_034478925.1	WP_003182950.1	orthogroup_480|GCF_034478925.1|WP_003182950.1	3	3	1
orthogroup_480	GCF_034479305.1	WP_094428169.1	orthogroup_480|GCF_034479305.1|WP_094428169.1	3	3	1
orthogroup_481	GCA_000015785.2	ABS74433.1	orthogroup_481|GCA_000015785.2|ABS74433.1	4	4	1
orthogroup_481	GCA_000025805.1	ADF41127.1	orthogroup_481|GCA_000025805.1|ADF41127.1	4	4	1
orthogroup_481	GCF_000009045.1	NP_390136.1	orthogroup_481|GCF_000009045.1|NP_390136.1	4	4	1
orthogroup_481	GCF_000009785.1	WP_011231676.1	orthogroup_481|GCF_000009785.1|WP_011231676.1	4	4	1
orthogroup_481	GCF_000011245.1	WP_011066174.1	orthogroup_481|GCF_000011245.1|WP_011066174.1	4	4	1
orthogroup_481	GCF_000017885.4	WP_003215804.1	orthogroup_481|GCF_000017885.4|WP_003215804.1	4	4	1
orthogroup_481	GCF_005671335.1	WP_010897835.1	orthogroup_481|GCF_005671335.1|WP_010897835.1	4	4	1
orthogroup_481	GCF_006094295.1	WP_000932700.1	orthogroup_481|GCF_006094295.1|WP_000932700.1	4	4	1
orthogroup_481	GCF_034478925.1	WP_003182952.1	orthogroup_481|GCF_034478925.1|WP_003182952.1	4	4	1
orthogroup_481	GCF_034479305.1	WP_011246751.1	orthogroup_481|GCF_034479305.1|WP_011246751.1	4	4	1
orthogroup_511	GCA_000015785.2	ABS74477.2	orthogroup_511|GCA_000015785.2|ABS74477.2	6	6	1
orthogroup_511	GCA_000025805.1	ADF41176.1	orthogroup_511|GCA_000025805.1|ADF41176.1	6	6	1
orthogroup_511	GCF_000009045.1	NP_390182.1	orthogroup_511|GCF_000009045.1|NP_390182.1	6	6	1
orthogroup_511	GCF_000009785.1	WP_011231726.1	orthogroup_511|GCF_000009785.1|WP_011231726.1	6	6	1
orthogroup_511	GCF_000011245.1	WP_011066211.1	orthogroup_511|GCF_000011245.1|WP_011066211.1	6	6	1
orthogroup_511	GCF_000017885.4	WP_012010411.1	orthogroup_511|GCF_000017885.4|WP_012010411.1	6	6	1
orthogroup_511	GCF_005671335.1	WP_053431387.1	orthogroup_511|GCF_005671335.1|WP_053431387.1	6	6	1
orthogroup_511	GCF_006094295.1	WP_001025780.1	orthogroup_511|GCF_006094295.1|WP_001025780.1	6	6	1
orthogroup_511	GCF_034478925.1	WP_003183057.1	orthogroup_511|GCF_034478925.1|WP_003183057.1	6	6	1
orthogroup_511	GCF_034479305.1	WP_094428275.1	orthogroup_511|GCF_034479305.1|WP_094428275.1	6	6	1
orthogroup_516	GCA_000015785.2	ABS74488.2	orthogroup_516|GCA_000015785.2|ABS74488.2	10	10	1
orthogroup_516	GCA_000025805.1	ADF41185.1	orthogroup_516|GCA_000025805.1|ADF41185.1	10	10	1
orthogroup_516	GCF_000009045.1	NP_390194.2	orthogroup_516|GCF_000009045.1|NP_390194.2	10	10	1
orthogroup_516	GCF_000009785.1	WP_011231762.1	orthogroup_516|GCF_000009785.1|WP_011231762.1	10	10	1
orthogroup_516	GCF_000011245.1	WP_011066218.1	orthogroup_516|GCF_000011245.1|WP_011066218.1	10	10	1
orthogroup_516	GCF_000017885.4	WP_012010421.1	orthogroup_516|GCF_000017885.4|WP_012010421.1	10	10	1
orthogroup_516	GCF_005671335.1	WP_010897742.1	orthogroup_516|GCF_005671335.1|WP_010897742.1	10	10	1
orthogroup_516	GCF_006094295.1	WP_000250086.1	orthogroup_516|GCF_006094295.1|WP_000250086.1	10	10	1
orthogroup_516	GCF_034478925.1	WP_003183086.1	orthogroup_516|GCF_034478925.1|WP_003183086.1	10	10	1
orthogroup_516	GCF_034479305.1	WP_094428293.1	orthogroup_516|GCF_034479305.1|WP_094428293.1	10	10	1
orthogroup_517	GCA_000015785.2	ABS74489.1	orthogroup_517|GCA_000015785.2|ABS74489.1	4	4	1
orthogroup_517	GCA_000025805.1	ADF41186.1	orthogroup_517|GCA_000025805.1|ADF41186.1	4	4	1
orthogroup_517	GCF_000009045.1	NP_390195.1	orthogroup_517|GCF_000009045.1|NP_390195.1	4	4	1
orthogroup_517	GCF_000009785.1	WP_011231763.1	orthogroup_517|GCF_000009785.1|WP_011231763.1	4	4	1
orthogroup_517	GCF_000011245.1	WP_011066219.1	orthogroup_517|GCF_000011245.1|WP_011066219.1	4	4	1
orthogroup_517	GCF_000017885.4	WP_012010422.1	orthogroup_517|GCF_000017885.4|WP_012010422.1	4	4	1
orthogroup_517	GCF_005671335.1	WP_010897741.1	orthogroup_517|GCF_005671335.1|WP_010897741.1	4	4	1
orthogroup_517	GCF_006094295.1	WP_000910524.1	orthogroup_517|GCF_006094295.1|WP_000910524.1	4	4	1
orthogroup_517	GCF_034478925.1	WP_011198082.1	orthogroup_517|GCF_034478925.1|WP_011198082.1	4	4	1
orthogroup_517	GCF_034479305.1	WP_094428295.1	orthogroup_517|GCF_034479305.1|WP_094428295.1	4	4	1
orthogroup_520	GCA_000015785.2	ABS74492.1	orthogroup_520|GCA_000015785.2|ABS74492.1	5	5	1
orthogroup_520	GCA_000025805.1	ADF41189.1	orthogroup_520|GCA_000025805.1|ADF41189.1	5	5	1
orthogroup_520	GCF_000009045.1	NP_390198.2	orthogroup_520|GCF_000009045.1|NP_390198.2	6	5	0
orthogroup_520	GCF_000009785.1	WP_011231766.1	orthogroup_520|GCF_000009785.1|WP_011231766.1	6	5	0
orthogroup_520	GCF_000011245.1	WP_011066222.1	orthogroup_520|GCF_000011245.1|WP_011066222.1	5	5	1
orthogroup_520	GCF_000017885.4	WP_003216139.1	orthogroup_520|GCF_000017885.4|WP_003216139.1	5	5	1
orthogroup_520	GCF_005671335.1	WP_010897738.1	orthogroup_520|GCF_005671335.1|WP_010897738.1	5	5	1
orthogroup_520	GCF_006094295.1	WP_000029514.1	orthogroup_520|GCF_006094295.1|WP_000029514.1	6	5	0
orthogroup_520	GCF_034478925.1	WP_003183094.1	orthogroup_520|GCF_034478925.1|WP_003183094.1	4	5	0
orthogroup_520	GCF_034479305.1	WP_062747090.1	orthogroup_520|GCF_034479305.1|WP_062747090.1	6	5	0
orthogroup_521	GCA_000015785.2	ABS74493.1	orthogroup_521|GCA_000015785.2|ABS74493.1	6	6	1
orthogroup_521	GCA_000025805.1	ADF41190.1	orthogroup_521|GCA_000025805.1|ADF41190.1	6	6	1
orthogroup_521	GCF_000009045.1	NP_390199.1	orthogroup_521|GCF_000009045.1|NP_390199.1	6	6	1
orthogroup_521	GCF_000009785.1	WP_011231767.1	orthogroup_521|GCF_000009785.1|WP_011231767.1	6	6	1
orthogroup_521	GCF_000011245.1	WP_011066223.1	orthogroup_521|GCF_000011245.1|WP_011066223.1	3	6	0
orthogroup_521	GCF_000017885.4	WP_012010425.1	orthogroup_521|GCF_000017885.4|WP_012010425.1	6	6	1
orthogroup_521	GCF_005671335.1	WP_010897737.1	orthogroup_521|GCF_005671335.1|WP_010897737.1	6	6	1
orthogroup_521	GCF_006094295.1	WP_000247811.1	orthogroup_521|GCF_006094295.1|WP_000247811.1	6	6	1
orthogroup_521	GCF_034478925.1	WP_009327965.1	orthogroup_521|GCF_034478925.1|WP_009327965.1	6	6	1
orthogroup_521	GCF_034479305.1	WP_094428299.1	orthogroup_521|GCF_034479305.1|WP_094428299.1	6	6	1
orthogroup_529	GCA_000015785.2	ABS74510.1	orthogroup_529|GCA_000015785.2|ABS74510.1	6	6	1
orthogroup_529	GCA_000025805.1	ADF41200.1	orthogroup_529|GCA_000025805.1|ADF41200.1	6	6	1
orthogroup_529	GCF_000009045.1	NP_390220.2	orthogroup_529|GCF_000009045.1|NP_390220.2	6	6	1
orthogroup_529	GCF_000009785.1	WP_011231783.1	orthogroup_529|GCF_000009785.1|WP_011231783.1	6	6	1
orthogroup_529	GCF_000011245.1	WP_011066232.1	orthogroup_529|GCF_000011245.1|WP_011066232.1	6	6	1
orthogroup_529	GCF_000017885.4	WP_003215696.1	orthogroup_529|GCF_000017885.4|WP_003215696.1	6	6	1
orthogroup_529	GCF_005671335.1	WP_053431423.1	orthogroup_529|GCF_005671335.1|WP_053431423.1	6	6	1
orthogroup_529	GCF_006094295.1	WP_000165595.1	orthogroup_529|GCF_006094295.1|WP_000165595.1	6	6	1
